Nacional	Comunidades y Ciudades Autónomas	Covid-19	Sexo	Edad	Total
Total nacional	Cataluña	Otras causas	Hombres	De 75 a 79 años	4.007
Total nacional	Cataluña	Otras causas	Hombres	De 80 a 84 años	4.759
Total nacional	Cataluña	Otras causas	Hombres	De 85 a 89 años	6.043
Total nacional	Cataluña	Otras causas	Hombres	De 90 a 94 años	4.097
Total nacional	Cataluña	Otras causas	Hombres	95 y más años	1.517
Total nacional	Cataluña	Otras causas	Mujeres	Total	31.960
Total nacional	Cataluña	Otras causas	Mujeres	De 0 a 49 años	867
Total nacional	Cataluña	Otras causas	Mujeres	De 50 a 54 años	520
Total nacional	Cataluña	Otras causas	Mujeres	De 55 a 59 años	738
Total nacional	Cataluña	Otras causas	Mujeres	De 60 a 64 años	952
Total nacional	Cataluña	Otras causas	Mujeres	De 65 a 69 años	1.162
Total nacional	Cataluña	Otras causas	Mujeres	De 70 a 74 años	1.755
Total nacional	Cataluña	Otras causas	Mujeres	De 75 a 79 años	2.518
Total nacional	Cataluña	Otras causas	Mujeres	De 80 a 84 años	4.312
Total nacional	Cataluña	Otras causas	Mujeres	De 85 a 89 años	7.393
Total nacional	Cataluña	Otras causas	Mujeres	De 90 a 94 años	7.330
Total nacional	Cataluña	Otras causas	Mujeres	95 y más años	4.413
Total nacional	Comunitat Valenciana	Total	Total	Total	49.033
Total nacional	Comunitat Valenciana	Total	Total	De 0 a 49 años	1.794
Total nacional	Comunitat Valenciana	Total	Total	De 50 a 54 años	1.163
Total nacional	Comunitat Valenciana	Total	Total	De 55 a 59 años	1.664
Total nacional	Comunitat Valenciana	Total	Total	De 60 a 64 años	2.464
Total nacional	Comunitat Valenciana	Total	Total	De 65 a 69 años	2.987
Total nacional	Comunitat Valenciana	Total	Total	De 70 a 74 años	4.165
Total nacional	Comunitat Valenciana	Total	Total	De 75 a 79 años	5.665
Total nacional	Comunitat Valenciana	Total	Total	De 80 a 84 años	7.771
Total nacional	Comunitat Valenciana	Total	Total	De 85 a 89 años	10.274
Total nacional	Comunitat Valenciana	Total	Total	De 90 a 94 años	7.755
Total nacional	Comunitat Valenciana	Total	Total	95 y más años	3.331
Total nacional	Comunitat Valenciana	Total	Hombres	Total	25.419
Total nacional	Comunitat Valenciana	Total	Hombres	De 0 a 49 años	1.167
Total nacional	Comunitat Valenciana	Total	Hombres	De 50 a 54 años	781
Total nacional	Comunitat Valenciana	Total	Hombres	De 55 a 59 años	1.108
Total nacional	Comunitat Valenciana	Total	Hombres	De 60 a 64 años	1.653
Total nacional	Comunitat Valenciana	Total	Hombres	De 65 a 69 años	2.040
Total nacional	Comunitat Valenciana	Total	Hombres	De 70 a 74 años	2.706
Total nacional	Comunitat Valenciana	Total	Hombres	De 75 a 79 años	3.444
Total nacional	Comunitat Valenciana	Total	Hombres	De 80 a 84 años	4.100
Total nacional	Comunitat Valenciana	Total	Hombres	De 85 a 89 años	4.688
Total nacional	Comunitat Valenciana	Total	Hombres	De 90 a 94 años	2.847
Total nacional	Comunitat Valenciana	Total	Hombres	95 y más años	885
Total nacional	Comunitat Valenciana	Total	Mujeres	Total	23.614
Total nacional	Comunitat Valenciana	Total	Mujeres	De 0 a 49 años	627
Total nacional	Comunitat Valenciana	Total	Mujeres	De 50 a 54 años	382
Total nacional	Comunitat Valenciana	Total	Mujeres	De 55 a 59 años	556
Total nacional	Comunitat Valenciana	Total	Mujeres	De 60 a 64 años	811
Total nacional	Comunitat Valenciana	Total	Mujeres	De 65 a 69 años	947
Total nacional	Comunitat Valenciana	Total	Mujeres	De 70 a 74 años	1.459
Total nacional	Comunitat Valenciana	Total	Mujeres	De 75 a 79 años	2.221
Total nacional	Comunitat Valenciana	Total	Mujeres	De 80 a 84 años	3.671
Total nacional	Comunitat Valenciana	Total	Mujeres	De 85 a 89 años	5.586
Total nacional	Comunitat Valenciana	Total	Mujeres	De 90 a 94 años	4.908
Total nacional	Comunitat Valenciana	Total	Mujeres	95 y más años	2.446
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Total	Total	3.161
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Total	De 0 a 49 años	49
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Total	De 50 a 54 años	41
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Total	De 55 a 59 años	71
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Total	De 60 a 64 años	126
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Total	De 65 a 69 años	200
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Total	De 70 a 74 años	324
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Total	De 75 a 79 años	438
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Total	De 80 a 84 años	599
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Total	De 85 a 89 años	709
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Total	De 90 a 94 años	446
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Total	95 y más años	158
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Hombres	Total	1.783
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Hombres	De 0 a 49 años	31
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Hombres	De 50 a 54 años	30
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Hombres	De 55 a 59 años	52
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Hombres	De 60 a 64 años	85
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Hombres	De 65 a 69 años	158
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Hombres	De 70 a 74 años	222
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Hombres	De 75 a 79 años	274
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Hombres	De 80 a 84 años	349
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Hombres	De 85 a 89 años	361
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Hombres	De 90 a 94 años	170
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Hombres	95 y más años	51
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Mujeres	Total	1.378
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Mujeres	De 0 a 49 años	18
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Mujeres	De 50 a 54 años	11
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Mujeres	De 55 a 59 años	19
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Mujeres	De 60 a 64 años	41
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Mujeres	De 65 a 69 años	42
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Mujeres	De 70 a 74 años	102
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Mujeres	De 75 a 79 años	164
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Mujeres	De 80 a 84 años	250
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Mujeres	De 85 a 89 años	348
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Mujeres	De 90 a 94 años	276
Total nacional	Comunitat Valenciana	Covid-19 Virus identificado	Mujeres	95 y más años	107
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Total	Total	651
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Total	De 0 a 49 años	6
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Total	De 50 a 54 años	13
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Total	De 55 a 59 años	15
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Total	De 60 a 64 años	21
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Total	De 65 a 69 años	27
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Total	De 70 a 74 años	39
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Total	De 75 a 79 años	79
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Total	De 80 a 84 años	99
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Total	De 85 a 89 años	183
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Total	De 90 a 94 años	117
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Total	95 y más años	52
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Hombres	Total	348
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Hombres	De 0 a 49 años	4
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Hombres	De 50 a 54 años	10
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Hombres	De 55 a 59 años	11
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Hombres	De 60 a 64 años	16
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Hombres	De 65 a 69 años	21
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Hombres	De 70 a 74 años	22
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Hombres	De 75 a 79 años	60
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Hombres	De 80 a 84 años	53
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Hombres	De 85 a 89 años	84
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Hombres	De 90 a 94 años	50
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Hombres	95 y más años	17
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Mujeres	Total	303
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 0 a 49 años	2
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 50 a 54 años	3
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 55 a 59 años	4
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 60 a 64 años	5
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 65 a 69 años	6
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 70 a 74 años	17
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 75 a 79 años	19
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 80 a 84 años	46
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 85 a 89 años	99
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 90 a 94 años	67
Total nacional	Comunitat Valenciana	Covid-19 Virus no identificado (sospechoso)	Mujeres	95 y más años	35
Total nacional	Comunitat Valenciana	Otras causas	Total	Total	45.221
Total nacional	Comunitat Valenciana	Otras causas	Total	De 0 a 49 años	1.739
Total nacional	Comunitat Valenciana	Otras causas	Total	De 50 a 54 años	1.109
Total nacional	Comunitat Valenciana	Otras causas	Total	De 55 a 59 años	1.578
Total nacional	Comunitat Valenciana	Otras causas	Total	De 60 a 64 años	2.317
Total nacional	Comunitat Valenciana	Otras causas	Total	De 65 a 69 años	2.760
Total nacional	Comunitat Valenciana	Otras causas	Total	De 70 a 74 años	3.802
Total nacional	Comunitat Valenciana	Otras causas	Total	De 75 a 79 años	5.148
Total nacional	Comunitat Valenciana	Otras causas	Total	De 80 a 84 años	7.073
Total nacional	Comunitat Valenciana	Otras causas	Total	De 85 a 89 años	9.382
Total nacional	Comunitat Valenciana	Otras causas	Total	De 90 a 94 años	7.192
Total nacional	Comunitat Valenciana	Otras causas	Total	95 y más años	3.121
Total nacional	Comunitat Valenciana	Otras causas	Hombres	Total	23.288
Total nacional	Comunitat Valenciana	Otras causas	Hombres	De 0 a 49 años	1.132
Total nacional	Comunitat Valenciana	Otras causas	Hombres	De 50 a 54 años	741
Total nacional	Comunitat Valenciana	Otras causas	Hombres	De 55 a 59 años	1.045
Total nacional	Comunitat Valenciana	Otras causas	Hombres	De 60 a 64 años	1.552
Total nacional	Comunitat Valenciana	Otras causas	Hombres	De 65 a 69 años	1.861
Total nacional	Comunitat Valenciana	Otras causas	Hombres	De 70 a 74 años	2.462
Total nacional	Comunitat Valenciana	Otras causas	Hombres	De 75 a 79 años	3.110
Total nacional	Comunitat Valenciana	Otras causas	Hombres	De 80 a 84 años	3.698
Total nacional	Comunitat Valenciana	Otras causas	Hombres	De 85 a 89 años	4.243
Total nacional	Comunitat Valenciana	Otras causas	Hombres	De 90 a 94 años	2.627
Total nacional	Comunitat Valenciana	Otras causas	Hombres	95 y más años	817
Total nacional	Comunitat Valenciana	Otras causas	Mujeres	Total	21.933
Total nacional	Comunitat Valenciana	Otras causas	Mujeres	De 0 a 49 años	607
Total nacional	Comunitat Valenciana	Otras causas	Mujeres	De 50 a 54 años	368
Total nacional	Comunitat Valenciana	Otras causas	Mujeres	De 55 a 59 años	533
Total nacional	Comunitat Valenciana	Otras causas	Mujeres	De 60 a 64 años	765
Total nacional	Comunitat Valenciana	Otras causas	Mujeres	De 65 a 69 años	899
Total nacional	Comunitat Valenciana	Otras causas	Mujeres	De 70 a 74 años	1.340
Total nacional	Comunitat Valenciana	Otras causas	Mujeres	De 75 a 79 años	2.038
Total nacional	Comunitat Valenciana	Otras causas	Mujeres	De 80 a 84 años	3.375
Total nacional	Comunitat Valenciana	Otras causas	Mujeres	De 85 a 89 años	5.139
Total nacional	Comunitat Valenciana	Otras causas	Mujeres	De 90 a 94 años	4.565
Total nacional	Comunitat Valenciana	Otras causas	Mujeres	95 y más años	2.304
Total nacional	Extremadura	Total	Total	Total	12.994
Total nacional	Extremadura	Total	Total	De 0 a 49 años	308
Total nacional	Extremadura	Total	Total	De 50 a 54 años	245
Total nacional	Extremadura	Total	Total	De 55 a 59 años	433
Total nacional	Extremadura	Total	Total	De 60 a 64 años	551
Total nacional	Extremadura	Total	Total	De 65 a 69 años	676
Total nacional	Extremadura	Total	Total	De 70 a 74 años	1.014
Total nacional	Extremadura	Total	Total	De 75 a 79 años	1.269
Total nacional	Extremadura	Total	Total	De 80 a 84 años	2.015
Total nacional	Extremadura	Total	Total	De 85 a 89 años	3.108
Total nacional	Extremadura	Total	Total	De 90 a 94 años	2.372
Total nacional	Extremadura	Total	Total	95 y más años	1.003
Total nacional	Extremadura	Total	Hombres	Total	6.586
Total nacional	Extremadura	Total	Hombres	De 0 a 49 años	206
Total nacional	Extremadura	Total	Hombres	De 50 a 54 años	169
Total nacional	Extremadura	Total	Hombres	De 55 a 59 años	305
Total nacional	Extremadura	Total	Hombres	De 60 a 64 años	395
Total nacional	Extremadura	Total	Hombres	De 65 a 69 años	472
Total nacional	Extremadura	Total	Hombres	De 70 a 74 años	707
Total nacional	Extremadura	Total	Hombres	De 75 a 79 años	778
Total nacional	Extremadura	Total	Hombres	De 80 a 84 años	1.015
Total nacional	Extremadura	Total	Hombres	De 85 a 89 años	1.352
Total nacional	Extremadura	Total	Hombres	De 90 a 94 años	884
Total nacional	Extremadura	Total	Hombres	95 y más años	303
Total nacional	Extremadura	Total	Mujeres	Total	6.408
Total nacional	Extremadura	Total	Mujeres	De 0 a 49 años	102
Total nacional	Extremadura	Total	Mujeres	De 50 a 54 años	76
Total nacional	Extremadura	Total	Mujeres	De 55 a 59 años	128
Total nacional	Extremadura	Total	Mujeres	De 60 a 64 años	156
Total nacional	Extremadura	Total	Mujeres	De 65 a 69 años	204
Total nacional	Extremadura	Total	Mujeres	De 70 a 74 años	307
Total nacional	Extremadura	Total	Mujeres	De 75 a 79 años	491
Total nacional	Extremadura	Total	Mujeres	De 80 a 84 años	1.000
Total nacional	Extremadura	Total	Mujeres	De 85 a 89 años	1.756
Total nacional	Extremadura	Total	Mujeres	De 90 a 94 años	1.488
Total nacional	Extremadura	Total	Mujeres	95 y más años	700
Total nacional	Extremadura	Covid-19 Virus identificado	Total	Total	1.099
Total nacional	Extremadura	Covid-19 Virus identificado	Total	De 0 a 49 años	10
Total nacional	Extremadura	Covid-19 Virus identificado	Total	De 50 a 54 años	10
Total nacional	Extremadura	Covid-19 Virus identificado	Total	De 55 a 59 años	28
Total nacional	Extremadura	Covid-19 Virus identificado	Total	De 60 a 64 años	33
Total nacional	Extremadura	Covid-19 Virus identificado	Total	De 65 a 69 años	54
Total nacional	Extremadura	Covid-19 Virus identificado	Total	De 70 a 74 años	91
Total nacional	Extremadura	Covid-19 Virus identificado	Total	De 75 a 79 años	110
Total nacional	Extremadura	Covid-19 Virus identificado	Total	De 80 a 84 años	161
Total nacional	Extremadura	Covid-19 Virus identificado	Total	De 85 a 89 años	299
Total nacional	Extremadura	Covid-19 Virus identificado	Total	De 90 a 94 años	210
Total nacional	Extremadura	Covid-19 Virus identificado	Total	95 y más años	93
Total nacional	Extremadura	Covid-19 Virus identificado	Hombres	Total	568
Total nacional	Extremadura	Covid-19 Virus identificado	Hombres	De 0 a 49 años	7
Total nacional	Extremadura	Covid-19 Virus identificado	Hombres	De 50 a 54 años	8
Total nacional	Extremadura	Covid-19 Virus identificado	Hombres	De 55 a 59 años	20
Total nacional	Extremadura	Covid-19 Virus identificado	Hombres	De 60 a 64 años	25
Total nacional	Extremadura	Covid-19 Virus identificado	Hombres	De 65 a 69 años	34
Total nacional	Extremadura	Covid-19 Virus identificado	Hombres	De 70 a 74 años	63
Total nacional	Extremadura	Covid-19 Virus identificado	Hombres	De 75 a 79 años	69
Total nacional	Extremadura	Covid-19 Virus identificado	Hombres	De 80 a 84 años	78
Total nacional	Extremadura	Covid-19 Virus identificado	Hombres	De 85 a 89 años	146
Total nacional	Extremadura	Covid-19 Virus identificado	Hombres	De 90 a 94 años	82
Total nacional	Extremadura	Covid-19 Virus identificado	Hombres	95 y más años	36
Total nacional	Extremadura	Covid-19 Virus identificado	Mujeres	Total	531
Total nacional	Extremadura	Covid-19 Virus identificado	Mujeres	De 0 a 49 años	3
Total nacional	Extremadura	Covid-19 Virus identificado	Mujeres	De 50 a 54 años	2
Total nacional	Extremadura	Covid-19 Virus identificado	Mujeres	De 55 a 59 años	8
Total nacional	Extremadura	Covid-19 Virus identificado	Mujeres	De 60 a 64 años	8
Total nacional	Extremadura	Covid-19 Virus identificado	Mujeres	De 65 a 69 años	20
Total nacional	Extremadura	Covid-19 Virus identificado	Mujeres	De 70 a 74 años	28
Total nacional	Extremadura	Covid-19 Virus identificado	Mujeres	De 75 a 79 años	41
Total nacional	Extremadura	Covid-19 Virus identificado	Mujeres	De 80 a 84 años	83
Total nacional	Extremadura	Covid-19 Virus identificado	Mujeres	De 85 a 89 años	153
Total nacional	Extremadura	Covid-19 Virus identificado	Mujeres	De 90 a 94 años	128
Total nacional	Extremadura	Covid-19 Virus identificado	Mujeres	95 y más años	57
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Total	Total	290
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Total	De 0 a 49 años	2
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Total	De 50 a 54 años	2
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Total	De 55 a 59 años	4
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Total	De 60 a 64 años	2
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Total	De 65 a 69 años	6
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Total	De 70 a 74 años	18
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Total	De 75 a 79 años	32
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Total	De 80 a 84 años	53
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Total	De 85 a 89 años	78
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Total	De 90 a 94 años	69
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Total	95 y más años	24
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Hombres	Total	131
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Hombres	De 0 a 49 años	1
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Hombres	De 50 a 54 años	1
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Hombres	De 55 a 59 años	1
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Hombres	De 60 a 64 años	1
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Hombres	De 65 a 69 años	4
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Hombres	De 70 a 74 años	12
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Hombres	De 75 a 79 años	20
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Hombres	De 80 a 84 años	29
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Hombres	De 85 a 89 años	36
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Hombres	De 90 a 94 años	19
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Hombres	95 y más años	7
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Mujeres	Total	159
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 0 a 49 años	1
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 50 a 54 años	1
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 55 a 59 años	3
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 60 a 64 años	1
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 65 a 69 años	2
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 70 a 74 años	6
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 75 a 79 años	12
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 80 a 84 años	24
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 85 a 89 años	42
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 90 a 94 años	50
Total nacional	Extremadura	Covid-19 Virus no identificado (sospechoso)	Mujeres	95 y más años	17
Total nacional	Extremadura	Otras causas	Total	Total	11.605
Total nacional	Extremadura	Otras causas	Total	De 0 a 49 años	296
Total nacional	Extremadura	Otras causas	Total	De 50 a 54 años	233
Total nacional	Extremadura	Otras causas	Total	De 55 a 59 años	401
Total nacional	Extremadura	Otras causas	Total	De 60 a 64 años	516
Total nacional	Extremadura	Otras causas	Total	De 65 a 69 años	616
Total nacional	Extremadura	Otras causas	Total	De 70 a 74 años	905
Total nacional	Extremadura	Otras causas	Total	De 75 a 79 años	1.127
Total nacional	Extremadura	Otras causas	Total	De 80 a 84 años	1.801
Total nacional	Extremadura	Otras causas	Total	De 85 a 89 años	2.731
Total nacional	Extremadura	Otras causas	Total	De 90 a 94 años	2.093
Total nacional	Extremadura	Otras causas	Total	95 y más años	886
Total nacional	Extremadura	Otras causas	Hombres	Total	5.887
Total nacional	Extremadura	Otras causas	Hombres	De 0 a 49 años	198
Total nacional	Extremadura	Otras causas	Hombres	De 50 a 54 años	160
Total nacional	Extremadura	Otras causas	Hombres	De 55 a 59 años	284
Total nacional	Extremadura	Otras causas	Hombres	De 60 a 64 años	369
Total nacional	Extremadura	Otras causas	Hombres	De 65 a 69 años	434
Total nacional	Extremadura	Otras causas	Hombres	De 70 a 74 años	632
Total nacional	Extremadura	Otras causas	Hombres	De 75 a 79 años	689
Total nacional	Extremadura	Otras causas	Hombres	De 80 a 84 años	908
Total nacional	Extremadura	Otras causas	Hombres	De 85 a 89 años	1.170
Total nacional	Extremadura	Otras causas	Hombres	De 90 a 94 años	783
Total nacional	Extremadura	Otras causas	Hombres	95 y más años	260
Total nacional	Extremadura	Otras causas	Mujeres	Total	5.718
Total nacional	Extremadura	Otras causas	Mujeres	De 0 a 49 años	98
Total nacional	Extremadura	Otras causas	Mujeres	De 50 a 54 años	73
Total nacional	Extremadura	Otras causas	Mujeres	De 55 a 59 años	117
Total nacional	Extremadura	Otras causas	Mujeres	De 60 a 64 años	147
Total nacional	Extremadura	Otras causas	Mujeres	De 65 a 69 años	182
Total nacional	Extremadura	Otras causas	Mujeres	De 70 a 74 años	273
Total nacional	Extremadura	Otras causas	Mujeres	De 75 a 79 años	438
Total nacional	Extremadura	Otras causas	Mujeres	De 80 a 84 años	893
Total nacional	Extremadura	Otras causas	Mujeres	De 85 a 89 años	1.561
Total nacional	Extremadura	Otras causas	Mujeres	De 90 a 94 años	1.310
Total nacional	Extremadura	Otras causas	Mujeres	95 y más años	626
Total nacional	Galicia	Total	Total	Total	32.879
Total nacional	Galicia	Total	Total	De 0 a 49 años	880
Total nacional	Galicia	Total	Total	De 50 a 54 años	595
Total nacional	Galicia	Total	Total	De 55 a 59 años	935
Total nacional	Galicia	Total	Total	De 60 a 64 años	1.356
Total nacional	Galicia	Total	Total	De 65 a 69 años	1.665
Total nacional	Galicia	Total	Total	De 70 a 74 años	2.397
Total nacional	Galicia	Total	Total	De 75 a 79 años	3.310
Total nacional	Galicia	Total	Total	De 80 a 84 años	4.751
Total nacional	Galicia	Total	Total	De 85 a 89 años	7.427
Total nacional	Galicia	Total	Total	De 90 a 94 años	6.268
Total nacional	Galicia	Total	Total	95 y más años	3.295
Total nacional	Galicia	Total	Hombres	Total	16.323
Total nacional	Galicia	Total	Hombres	De 0 a 49 años	578
Total nacional	Galicia	Total	Hombres	De 50 a 54 años	378
Total nacional	Galicia	Total	Hombres	De 55 a 59 años	622
Total nacional	Galicia	Total	Hombres	De 60 a 64 años	932
Total nacional	Galicia	Total	Hombres	De 65 a 69 años	1.165
Total nacional	Galicia	Total	Hombres	De 70 a 74 años	1.622
Total nacional	Galicia	Total	Hombres	De 75 a 79 años	2.061
Total nacional	Galicia	Total	Hombres	De 80 a 84 años	2.558
Total nacional	Galicia	Total	Hombres	De 85 a 89 años	3.309
Total nacional	Galicia	Total	Hombres	De 90 a 94 años	2.251
Total nacional	Galicia	Total	Hombres	95 y más años	847
Total nacional	Galicia	Total	Mujeres	Total	16.556
Total nacional	Galicia	Total	Mujeres	De 0 a 49 años	302
Total nacional	Galicia	Total	Mujeres	De 50 a 54 años	217
Total nacional	Galicia	Total	Mujeres	De 55 a 59 años	313
Total nacional	Galicia	Total	Mujeres	De 60 a 64 años	424
Total nacional	Galicia	Total	Mujeres	De 65 a 69 años	500
Total nacional	Galicia	Total	Mujeres	De 70 a 74 años	775
Total nacional	Galicia	Total	Mujeres	De 75 a 79 años	1.249
Total nacional	Galicia	Total	Mujeres	De 80 a 84 años	2.193
Total nacional	Galicia	Total	Mujeres	De 85 a 89 años	4.118
Total nacional	Galicia	Total	Mujeres	De 90 a 94 años	4.017
Total nacional	Galicia	Total	Mujeres	95 y más años	2.448
Total nacional	Galicia	Covid-19 Virus identificado	Total	Total	1.499
Total nacional	Galicia	Covid-19 Virus identificado	Total	De 0 a 49 años	7
Total nacional	Galicia	Covid-19 Virus identificado	Total	De 50 a 54 años	8
Total nacional	Galicia	Covid-19 Virus identificado	Total	De 55 a 59 años	28
Total nacional	Galicia	Covid-19 Virus identificado	Total	De 60 a 64 años	36
Total nacional	Galicia	Covid-19 Virus identificado	Total	De 65 a 69 años	53
